相對年度,平均所得相對成長率百分點,事件數,縣市,輪替年度,由,轉為,所得相對成長率百分點
4,2.980328493798153,24,彰化縣,2015,KMT,DPP,0.1881356742854834
4,2.980328493798153,24,彰化縣,2019,DPP,KMT,1.9904761914155245
4,2.980328493798153,24,新北市,2006,DPP,KMT,-3.3712680008388674
4,2.980328493798153,24,新竹市,2002,DPP,KMT,4.9203765152595835
4,2.980328493798153,24,新竹市,2015,KMT,DPP,7.263035144100449
4,2.980328493798153,24,桃園市,2002,DPP,KMT,-2.482497688296803
4,2.980328493798153,24,桃園市,2015,KMT,DPP,-0.7103183492024101
4,2.980328493798153,24,澎湖縣,2006,KMT,DPP,18.0745608358313
4,2.980328493798153,24,澎湖縣,2019,DPP,KMT,13.553966901624648
4,2.980328493798153,24,臺中市,2002,DPP,KMT,4.070124526387886
4,2.980328493798153,24,臺中市,2015,KMT,DPP,-0.645640846951423
4,2.980328493798153,24,臺中市,2019,DPP,KMT,-1.2373047756117472
4,2.980328493798153,24,雲林縣,2006,KMT,DPP,0.04264491661007952
4,2.980328493798153,24,雲林縣,2019,DPP,KMT,3.235000494036555
4,2.980328493798153,24,高雄市,2019,DPP,KMT,2.729475493699418
5,-1.9577401774021712,24,嘉義市,2015,KMT,DPP,0.6689265212036943
5,-1.9577401774021712,24,嘉義市,2019,DPP,KMT,4.7541431030794
5,-1.9577401774021712,24,嘉義縣,2002,KMT,DPP,-9.920998139962656
5,-1.9577401774021712,24,基隆市,2015,KMT,DPP,-3.0019291928951475
5,-1.9577401774021712,24,宜蘭縣,2006,DPP,KMT,-12.723997125968722
5,-1.9577401774021712,24,宜蘭縣,2010,KMT,DPP,5.441564754928052
5,-1.9577401774021712,24,宜蘭縣,2019,DPP,KMT,-2.5546652945989123
5,-1.9577401774021712,24,彰化縣,2002,KMT,DPP,-6.075914074101441
5,-1.9577401774021712,24,彰化縣,2006,DPP,KMT,2.027277993270893
5,-1.9577401774021712,24,彰化縣,2015,KMT,DPP,-3.950748183812891
5,-1.9577401774021712,24,彰化縣,2019,DPP,KMT,-7.7402330160122546
